#{"t_start": 1774014158.155141, "env_id": "None"}
r,l,t
90.9,91,1.906873
97.0,30,1.909921
-50.0,500,1.955051
96.0,40,1.958767
-50.0,500,2.008177
-50.0,500,2.052401
-50.0,500,2.224262
65.9,341,2.495429
-50.0,500,2.913067
-50.0,500,3.306937
-50.0,500,3.718514
-50.0,500,4.097039
-50.0,500,4.534369
-50.0,500,4.964747
97.7,23,4.983938
-50.0,500,5.397797
58.2,418,5.742586
-50.0,500,6.16821
-50.0,500,6.562299
88.3,117,6.657728
86.9,131,11.517439
-50.0,500,12.021676
-50.0,500,12.425396
-50.0,500,12.823807
-50.0,500,13.250921
-50.0,500,13.650373
-50.0,500,14.060174
-50.0,500,14.477404
-50.0,500,14.943887
-50.0,500,15.339402
-50.0,500,15.724103
-50.0,500,16.207403
65.3,347,16.529577
-50.0,500,16.93989
-50.0,500,17.424864
53.1,469,17.8239
-50.0,500,18.261753
90.0,100,18.344531
-50.0,500,18.771793
76.1,239,19.04305
-50.0,500,19.479614
-50.0,500,19.885564
76.1,239,20.139623
-50.0,500,20.58918
-50.0,500,21.235812
82.2,178,21.416532
-50.0,500,21.880817
-50.0,500,22.331913
-50.0,500,22.7858
-50.0,500,23.235802
-50.0,500,23.707897
50.2,498,24.172304
-50.0,500,24.671302
99.7,3,24.672822
-50.0,500,25.147437
-50.0,500,25.657374
-50.0,500,26.187917
-50.0,500,26.631158
-50.0,500,27.115334
91.2,88,27.198707
-50.0,500,27.6739
82.2,178,27.83508
-50.0,500,28.296872
-50.0,500,28.840925
-50.0,500,29.329816
81.9,181,29.491061
-50.0,500,29.961021
-50.0,500,30.430784
-50.0,500,30.990827
-50.0,500,36.716595
76.3,237,36.979883
-50.0,500,37.479979
69.8,302,37.775628
84.7,153,37.941465
-50.0,500,38.43626
99.9,1,38.436679
-50.0,500,39.006691
-50.0,500,39.494394
95.6,44,39.535479
96.5,35,39.57118
84.9,151,39.71727
-50.0,500,40.243136
-50.0,500,40.813949
-50.0,500,41.3118
-50.0,500,41.839889
-50.0,500,42.333401
-50.0,500,42.853931
-50.0,500,43.3614
-50.0,500,43.875785
-50.0,500,44.385667
-50.0,500,44.886071
-50.0,500,45.438673
-50.0,500,45.957213
-50.0,500,51.824343
99.8,2,51.825766
-50.0,500,52.638035
-50.0,500,53.1928
-50.0,500,53.701641
-50.0,500,54.203566
-50.0,500,54.713482
-50.0,500,55.259966
-50.0,500,55.780879
99.9,1,55.784665
-50.0,500,56.29894
98.2,18,56.316582
-50.0,500,56.846725
-50.0,500,57.389838
-50.0,500,57.923098
-50.0,500,58.43261
-50.0,500,58.965494
-50.0,500,59.511727
95.1,49,59.560484
-50.0,500,60.112969
-50.0,500,60.647764
-50.0,500,61.243876
-50.0,500,66.763247
-50.0,500,67.326028
-50.0,500,67.881108
-50.0,500,68.423625
67.5,325,68.792078
-50.0,500,69.334513
-50.0,500,69.886516
-50.0,500,70.440478
-50.0,500,71.03651
-50.0,500,71.626314
99.9,1,71.626975
-50.0,500,72.174346
-50.0,500,72.727074
-50.0,500,73.289104
93.8,62,73.354729
-50.0,500,73.919237
-50.0,500,74.464426
-50.0,500,75.024617
-50.0,500,75.570834
-50.0,500,76.125805
-50.0,500,82.101257
92.7,73,82.189704
98.4,16,82.208208
82.1,179,82.417215
-50.0,500,82.971578
-50.0,500,83.525147
-50.0,500,84.124215
-50.0,500,84.752611
